Iteration,Python Time (s),Rust Time (s),Task Size (n)
68,0.0021033589998751268,0.0011170860000220273,100
69,0.0018999029998667538,0.0010671099998944555,100
70,0.0019836120000036317,0.0010887539999657747,100
71,0.0014551179999671149,0.0011164729999109113,100
72,0.0013150140000561805,0.0010340779999751248,100
73,0.0011981749998994928,0.0010477700000137702,100
74,0.0014198410001426964,0.001084151999975802,100
75,0.0017122549998020986,0.0010504249999030435,100
76,0.0018881829998917965,0.0010389589999704185,100
77,0.0016445159999420866,0.0010521740000513091,100
78,0.003289638000069317,0.0010536810000303376,100
79,0.0022936569998819323,0.001067722000016147,100
80,0.0011109089998626587,0.0010645709999153041,100
81,0.0010181869999996707,0.0011703689999649214,100
82,0.0008609629999227764,0.0010483859998657863,100
83,0.0008538499998849147,0.0010450999998283805,100
84,0.0008160749998751271,0.0010472839999238204,100
85,0.0008438439999736147,0.0010482459999821003,100
86,0.0008276700000351411,0.002073480000035488,100
87,0.000985881000133304,0.0010987919999934093,100
88,0.0008607199999914883,0.0010555979999935516,100
89,0.0015202209999642946,0.001088272000060897,100
90,0.0017093660001137323,0.0010856280000552943,100
91,0.0019577859998207714,0.001097501000003831,100
92,0.001419395000084478,0.0011052979998567025,100
93,0.0019619120000697876,0.001118544000064503,100
94,0.0016032539999741857,0.001056446000120559,100
95,0.0016140950001499732,0.0010981299999457406,100
96,0.0015480939998724352,0.0022300759999325237,100
97,0.0016701150000244525,0.0010630730000684707,100
98,0.0015496940000048198,0.0010588480001842981,100
99,0.0015955460000895982,0.0010817209999913757,100
100,0.0018799470001340524,0.0010615650001000176,100
1,0.0031715740001345694,0.020186082000009264,500
2,0.005168557999922996,0.0066160390001641645,500
3,0.002859453999917605,0.006224968999958946,500
4,0.002692723000109254,0.0065334270000221295,500
5,0.0030778880000070785,0.006761703000165653,500
6,0.003076241000144364,0.006418109999913213,500
7,0.003411443999993935,0.006902995000018564,500
8,0.0032251790000827896,0.00594432599996253,500
9,0.003043703999992431,0.00583987300001354,500
10,0.0027966350000951934,0.006961706000083723,500
11,0.003730505000021367,0.006074659000205429,500
12,0.004306197999994765,0.006462118999934319,500
13,0.00499130499997591,0.007336696000038501,500
14,0.006936066999969626,0.005975197999987358,500
15,0.010547573999929227,0.006532182999990255,500
16,0.01614173200005098,0.008260233000100925,500
17,0.013402872999904503,0.006115958999998838,500
18,0.01635782400012431,0.006431168000062826,500
19,0.014841947999912009,0.006209391999846048,500
20,0.013261269999929937,0.006467434999876787,500
21,0.014615787999900931,0.006453199999896242,500
22,0.013362714999857417,0.006952999000077398,500
23,0.01253665300009743,0.0073582950001309655,500
24,0.016489183999965462,0.00693014199987374,500
25,0.014495877000172186,0.006588909999891257,500
26,0.01367483099988931,0.006425837999813666,500
27,0.01392132700016191,0.005952935000095749,500
28,0.01319435200002772,0.006573085999889372,500
29,0.013396185999908994,0.006110878000072262,500
30,0.013667223999846101,0.006685700000161887,500
31,0.010040868999794839,0.006343512000057672,500
32,0.007153881000022011,0.006255163999867364,500
33,0.007273283999893465,0.007021034999979747,500
34,0.012816007000083118,0.006344398999999612,500
35,0.015175225000120918,0.006650565999962055,500
36,0.008618512000111878,0.006888442999979816,500
37,0.00615565099997184,0.006878771999936362,500
38,0.007007376000046861,0.005911739000111993,500
39,0.010502415000019028,0.007724761999952534,500
40,0.00932613100007984,0.006107716999849799,500
41,0.01047119300005761,0.006595478999997795,500
42,0.011409498000148233,0.006137068000043655,500
43,0.009375014000170268,0.006217198000058488,500
44,0.00818762499989134,0.007121058999928209,500
45,0.011431943999923533,0.006237714000008054,500
46,0.01162130700004127,0.006693462000157524,500
47,0.006556361000093602,0.006000096999969173,500
48,0.0034252030000061495,0.0057779839999057,500
49,0.004088815000159229,0.007245546999911312,500
50,0.005368195999835734,0.006967893999899388,500
51,0.007705240000177582,0.006181081000022459,500
52,0.014186379999955534,0.00651585199989313,500
53,0.013821627999959674,0.006019882999908077,500
54,0.019262334000131887,0.006225986999879751,500
55,0.017664739999872836,0.0058398579999447975,500
56,0.014937034000013227,0.005713352999919152,500
57,0.0072108289998595865,0.005805792000046495,500
58,0.004833222000115711,0.006977575999826513,500
59,0.004393127000184904,0.005951762999984567,500
60,0.00373140700003205,0.006948629000135043,500
61,0.0030700469999374036,0.006098943000097279,500
62,0.0027290350001294428,0.007028771000022971,500
63,0.002688412999987122,0.007003610000083427,500
64,0.0026744110000436194,0.00598553300005733,500
65,0.00272632899987002,0.006545686999970712,500
66,0.002994644999944285,0.0061027130000184115,500
67,0.002908710999918185,0.005788305000123728,500
68,0.0036462509999637405,0.005848438999919381,500
69,0.002826410000125179,0.006486805999884382,500
70,0.0026369469999281137,0.006149976999950013,500
71,0.0027857729999141156,0.005877191000081439,500
72,0.0028681160001724493,0.005740326000022833,500
73,0.003072535000001153,0.007275862000142297,500
74,0.0026732909998372634,0.0065939979999711795,500
75,0.0026444540001193673,0.005910815000106595,500
76,0.002648796999892511,0.006073603000004368,500
77,0.002624972999910824,0.0058204429999477725,500
78,0.003116146999900593,0.006649164999998902,500
79,0.00393301999997675,0.006109855999966385,500
80,0.0036254339997867646,0.005699206999906892,500
81,0.0044007349999901635,0.007215706000124555,500
82,0.005245564000006198,0.006453033000070718,500
83,0.005247046000022237,0.0059622810001656035,500
84,0.006380680000120265,0.006646567999951003,500
85,0.011102898999979516,0.00611795700001494,500
86,0.012946842000019387,0.005817370999920968,500
87,0.011468835999949079,0.005898968000110472,500
88,0.011343306999833658,0.006012920999864946,500
89,0.011279785999931846,0.006051439999964714,500
90,0.008537610000075802,0.006148067999902196,500
91,0.007772529000021677,0.0062095360001421795,500
92,0.009687908999922001,0.005955519000053755,500
93,0.014868429999978616,0.00661275399988881,500
94,0.012999902000046859,0.006045625000069776,500
95,0.018013698000004297,0.007111187999953472,500
96,0.019725872999970306,0.005959453000059511,500
97,0.015382812000098056,0.0061237879999680445,500
98,0.014843207000012626,0.005786900999964928,500
99,0.014064692999909312,0.006578561000196714,500
100,0.013790704000030019,0.00602431099991918,500
1,0.007651477000081286,0.013079838000066957,1000
2,0.004521139999951629,0.01286545500011016,1000
3,0.004509268999981941,0.012448397999833105,1000
4,0.0045278990000952035,0.013458956000022226,1000
5,0.005657593999785604,0.014461544999903708,1000
6,0.005038873999865245,0.013232455999968806,1000
7,0.0072663290000036795,0.013494484000148077,1000
8,0.010196415000109482,0.01316180699996039,1000
9,0.006120789999840781,0.013546868000048562,1000
10,0.006444643999884647,0.012515842000084376,1000
11,0.0073346660001334385,0.014033077000021876,1000
12,0.005141184999956749,0.013267820999999458,1000
13,0.004935746000001018,0.012357082000107766,1000
14,0.0046054009999352274,0.01306958999998642,1000
15,0.006632979999949384,0.013742998999987321,1000
16,0.006193872000039846,0.013682362999816178,1000
17,0.006023487999982535,0.013466013999959614,1000
18,0.009205540000039036,0.01240572799997608,1000
19,0.007052953000084017,0.01376043599998411,1000
20,0.006181034999826807,0.014304760999948485,1000
21,0.005201984999985143,0.013028178000013213,1000
22,0.005544667999856756,0.013428623999971023,1000
23,0.010134159000017462,0.013302789000135817,1000
24,0.007385583000086626,0.01312789700000394,1000
25,0.0055891800000154035,0.013793196000051466,1000
26,0.004733623999982228,0.013109967999980654,1000
27,0.004468824000014138,0.013552969000102166,1000
28,0.004556242000035127,0.012837462999868876,1000
29,0.004645195999955831,0.013656925000077536,1000
30,0.005514826000080575,0.014352888000075836,1000
31,0.006348030000026483,0.013265242999978,1000
32,0.0076267359997928,0.017821581000134756,1000
33,0.008872095000015179,0.014977854000107982,1000
34,0.00731404700013627,0.01314906500010693,1000
35,0.008876675000010437,0.014104745999929946,1000
36,0.012796878000017387,0.013450275000195688,1000
37,0.010817443999940224,0.015460990000065067,1000
38,0.01774714199996197,0.013577923999946506,1000
39,0.013658967999845117,0.013129621999951269,1000
40,0.015071389000013369,0.013731855000060023,1000
41,0.014500568999892494,0.013579137000078845,1000
42,0.015973710000025676,0.015000773999872763,1000
43,0.01644874999988133,0.013099400000101014,1000
44,0.011478141999987201,0.013041229999998905,1000
45,0.009441223999829162,0.012956768000094598,1000
46,0.011512803999949028,0.013306767999893054,1000
47,0.01271413999984361,0.013303329999871494,1000
48,0.008579778000012084,0.013132867999956943,1000
49,0.00922758799993062,0.012810769999987315,1000
50,0.023358685999937734,0.013582431000031647,1000
51,0.023010423999949126,0.0127833849999206,1000
52,0.019628670999964015,0.012147428000162108,1000
53,0.008633925999902203,0.014286386999856404,1000
54,0.006816199000013512,0.012960719000147947,1000
55,0.006719303999943804,0.01371025000003101,1000
56,0.008221023000032801,0.013307410000152231,1000
57,0.005492086999993262,0.013496495000026698,1000
58,0.005716063999898324,0.013188651000064056,1000
59,0.004702234999967914,0.013576539999803572,1000
60,0.006572701000095549,0.013969224999982544,1000
61,0.00783355700013999,0.012949409999919226,1000
62,0.008381433000067773,0.012904075000051307,1000
63,0.007649071000059848,0.012906460999829505,1000
64,0.008944252999981472,0.013349988000072699,1000
65,0.013984356000037224,0.013453316000095583,1000
66,0.02221531899999718,0.012939710000182458,1000
67,0.025566678999894066,0.013754586000004565,1000
68,0.01985811100007595,0.013887366000062684,1000
69,0.014419563999808815,0.012786815000026763,1000
70,0.013106877999916833,0.013442518000147174,1000
71,0.015347424999845316,0.01309291999996276,1000
72,0.02342069800010904,0.015120689000013954,1000
73,0.039772913999968296,0.015219240000078571,1000
74,0.01705545799995889,0.013223076000031142,1000
75,0.027672909000102663,0.013060777999953643,1000
76,0.02087830400000712,0.012965752000127395,1000
77,0.02112389700005224,0.013165197999796874,1000
78,0.011993480000001,0.012876590999894688,1000
79,0.007407457999988765,0.01367219199983083,1000
80,0.005251481999948737,0.013720423999984632,1000
81,0.004535407000048508,0.013520986999992601,1000
82,0.005131618999939747,0.013736429999880784,1000
83,0.004477119999819479,0.013028864999796497,1000
84,0.004548544000044785,0.014184056999965833,1000
85,0.004610406000210787,0.013042278000057195,1000
86,0.0044196610001563386,0.013915472999997291,1000
87,0.004487870000048133,0.012967002999857868,1000
88,0.004449810999858528,0.013772670999969705,1000
89,0.005313696999792228,0.014322879000019384,1000
90,0.004625226000143812,0.012296843000058288,1000
91,0.004496856000059779,0.014361680000092747,1000
92,0.004613766999909785,0.014018283000041265,1000
93,0.0044635230001404125,0.012983521000023757,1000
94,0.004545489000065572,0.013574919000120644,1000
95,0.0044634179998865875,0.014211623999926815,1000
96,0.004496775999996316,0.013327999000011914,1000
97,0.0050897969999823545,0.01317159899986109,1000
98,0.004461532999812334,0.014432627000132925,1000
99,0.004451019999805794,0.013727563999964332,1000
100,0.004473122000035801,0.014336242999888782,1000
1,0.03223947500009672,0.06943131499997435,5000
2,0.01860605599995324,0.07427247900000111,5000
3,0.01943207599993002,0.0703808640000716,5000
4,0.019785267999850475,0.06874772200012558,5000
5,0.05055317100004686,0.06982814700018025,5000
6,0.03746078199992553,0.06891614799997114,5000
7,0.0378229719999581,0.07052213799988749,5000
8,0.05412333000003855,0.07078737100005128,5000
9,0.018634744000110004,0.0705744249999043,5000
10,0.03495087900000726,0.06956550500012781,5000
11,0.04126234800014572,0.06954064199999266,5000
12,0.03657482499988873,0.07248219400003109,5000
13,0.037294707000000926,0.07002028500005508,5000
14,0.05381193599987455,0.06988336999984313,5000
15,0.020823000000063985,0.07432049199996982,5000
16,0.01911549000010382,0.06909115799999199,5000
17,0.019409389999964333,0.0707406669998818,5000
18,0.025989900000013222,0.07125917899998058,5000
19,0.02447735299983833,0.0710202009997829,5000
20,0.02916261299992584,0.07027928999991673,5000
21,0.02204794099998253,0.06992443200010712,5000
22,0.02693835099989883,0.0694242239999312,5000
23,0.022424896000075023,0.06888122700001986,5000
24,0.019951776999960202,0.07093027400014762,5000
25,0.019640998999875592,0.07047761400008312,5000
26,0.019071182000061526,0.07075309700007892,5000
27,0.019457557000123415,0.07131981399993492,5000
28,0.0218791060001422,0.06965605499999583,5000
29,0.024824456000033024,0.0699110219998147,5000
30,0.02821101499989709,0.07172521400002552,5000
31,0.03870992299994214,0.06942819500000041,5000
32,0.104441050999867,0.07053052900005241,5000
33,0.04422540000018671,0.07053537299998425,5000
34,0.028808093999941775,0.07028966100006073,5000
35,0.0289477829999214,0.07196587299995372,5000
36,0.022661510000034468,0.06828290499993273,5000
37,0.05787839899994651,0.06905738799991923,5000
38,0.032555294000076174,0.07251086099995518,5000
39,0.12142080499984331,0.07163784099998338,5000
40,0.046415538000019296,0.06928587700008393,5000
41,0.03679939099993135,0.07101448399998844,5000
42,0.038307963000079326,0.0690220120000049,5000
43,0.022688482999910775,0.07063703399990118,5000
44,0.035612850999996226,0.06960049799999979,5000
45,0.03818836300001749,0.06881551599985869,5000
46,0.021804018000011638,0.06956058299988399,5000
47,0.029824763999840798,0.07139951099998143,5000
48,0.032821402000081434,0.06917744999987008,5000
49,0.034123468999951,0.06982861599999524,5000
50,0.01909795899996425,0.06807744800016735,5000
51,0.017709265000121377,0.06946883899991008,5000
52,0.03864204299998164,0.06851228200002879,5000
53,0.024169563999976162,0.07144384999992326,5000
54,0.02957002899984218,0.07043337200002497,5000
55,0.020812190000015107,0.06862751100015885,5000
56,0.02222759500000393,0.0699853600001461,5000
57,0.040386663000163026,0.06912417800003823,5000
58,0.10578174900001613,0.0696652130000075,5000
59,0.023658848999957627,0.0698245720000159,5000
60,0.03482917599990287,0.07309517299995605,5000
61,0.05696011999998518,0.07022903100005351,5000
62,0.18764541699988513,0.07012277800004085,5000
63,0.024016879000100744,0.07010886700004448,5000
64,0.019730609999896842,0.07003374799978701,5000
65,0.020919082999853345,0.06890424800008077,5000
66,0.024430284999880314,0.07122552999999243,5000
67,0.03455388299994411,0.07036546699987412,5000
68,0.025588534999997137,0.07063931000016055,5000
69,0.023476562000041667,0.06962379400010832,5000
70,0.04288657699999021,0.07077140000001236,5000
71,0.020547905000057654,0.07041255900003307,5000
72,0.02147605899995142,0.06990578499994626,5000
73,0.019164209000109622,0.07104080599992812,5000
74,0.019709609000074124,0.071268549000024,5000
75,0.02258711499985111,0.07013833299993166,5000
76,0.030820149999954083,0.06970548499998586,5000
77,0.020730951000132336,0.06956206400013798,5000
78,0.03662775399993734,0.06886013999996976,5000
79,0.019025268000177675,0.06884204399989358,5000
80,0.0251845239999966,0.06838489599999775,5000
81,0.04277305300001899,0.06977030999996714,5000
82,0.05249659800006157,0.0704157509999277,5000
83,0.028230199000063294,0.0693332629998622,5000
84,0.018458277000036105,0.06862798100019063,5000
85,0.018860934000031193,0.0695491359999778,5000
86,0.021980083000016748,0.0692378749999989,5000
87,0.017814670000007027,0.06856429799995567,5000
88,0.018176977000166517,0.06937442399998872,5000
89,0.05254516100012552,0.06959219700001995,5000
90,0.04405498199980684,0.06957489499995972,5000
91,0.058632256000009875,0.06852455200009899,5000
92,0.02354584999989129,0.06731533300012416,5000
93,0.029553430999840202,0.06939911500012386,5000
94,0.017726224999933038,0.07205556100007016,5000
95,0.019101446000149735,0.07075598300002639,5000
96,0.028939884999999776,0.06982031799998367,5000
97,0.05420933400000649,0.07105333499998778,5000
98,0.11337206400003197,0.07646036500000264,5000
99,0.023598541999945155,0.0701199180000458,5000
100,0.020993195000073683,0.07064871800002948,5000
1,0.042456528000002436,0.1381073990000914,10000
2,0.037850845000093614,0.1426147500001207,10000
3,0.06468622900001719,0.14386526599992067,10000
4,0.06413706199987246,0.1416745220001303,10000
5,0.03636628300000666,0.141666363000013,10000
6,0.048218365999900925,0.14600368700007493,10000
7,0.08417395800006489,0.14472462600019753,10000
8,0.09699888999989525,0.1446322499998587,10000
9,0.09604139199996098,0.1426337059999696,10000
10,0.06473438500006523,0.14501273900009437,10000
11,0.051221476999899096,0.14300779699988198,10000
12,0.0500957849999395,0.14277742100011892,10000
13,0.0357269119999728,0.14362276800011387,10000
14,0.04124613499993757,0.14243542199983494,10000
15,0.19008884999993825,0.14253462800002126,10000
16,0.08756528300000355,0.14279119399998308,10000
17,0.08511551199990208,0.1406232069998623,10000
18,0.08629124499998397,0.146156972999961,10000
19,0.055670127999974284,0.14700777899997775,10000
20,0.04948619200013127,0.13988272500000676,10000
21,0.07838722099995721,0.1419737940000232,10000
22,0.31504143200004364,0.14178121300005841,10000
23,0.05767174699985844,0.1456480049998845,10000
24,0.05570168899998862,0.1424120110000331,10000
25,0.03592569099987486,0.14348608099999183,10000
26,0.039058974999989005,0.14129258100001607,10000
27,0.037643142999968404,0.1464588779999758,10000
28,0.0460514050000711,0.14010744799998065,10000
29,0.03856665500006784,0.15417730400008622,10000
30,0.0366679699998258,0.1398664779999308,10000
31,0.042731768999829,0.14264110999988588,10000
32,0.0895574599999236,0.13983584500010693,10000
33,0.04079592599987336,0.14461087399990902,10000
34,0.040290417999813144,0.13995249200002036,10000
35,0.05066120900005444,0.14449446600019655,10000
36,0.04892451100022299,0.14121453500001735,10000
37,0.036714154000037524,0.14324440499990487,10000
38,0.05279425599997012,0.14197564799997053,10000
39,0.06680266399985157,0.14389459200015153,10000
40,0.03570215400009147,0.1451044290001846,10000
41,0.18930651599998782,0.14201154700003826,10000
42,0.0462194910001017,0.14304594500003986,10000
43,0.03922301500006142,0.14210845000002337,10000
44,0.03789178199986054,0.14160782299995844,10000
45,0.05357523900011074,0.14158759499991902,10000
46,0.03897085599987804,0.14276897400009148,10000
47,0.07870226099998945,0.1428207910000765,10000
48,0.2809269370000038,0.1438548329999776,10000
49,0.10056460000009793,0.14215718200011906,10000
50,0.1345504290000008,0.14084276300013698,10000
51,0.03927042500004063,0.14207987499980845,10000
52,0.11630549300002713,0.1410273149999739,10000
53,0.04718253099986214,0.14293728799998462,10000
54,0.18214496499990673,0.13984022299996468,10000
55,0.03876472699994338,0.1420995620001122,10000
56,0.04226305199995295,0.145336000000043,10000
57,0.03861137800004144,0.1411862940001356,10000
58,0.053892005000079735,0.13985694799998782,10000
59,0.037299130000064906,0.14154262199986078,10000
60,0.1401932690000649,0.1441657639998084,10000
61,0.117770653999969,0.14232388599998558,10000
62,0.04200980099994922,0.14488850899988392,10000
63,0.04095080899992354,0.1413280520000626,10000
64,0.05277072399985627,0.14189648199999283,10000
65,0.057652612000083536,0.14347987100018145,10000
66,0.0710059860000456,0.14306333099989388,10000
67,0.060284248000016305,0.14327466300005653,10000
68,0.03731802900006187,0.14436268300005395,10000
69,0.040146340000092096,0.14246191200004432,10000
70,0.03617157700000462,0.14401367599998594,10000
71,0.040063208999981725,0.14109134299997095,10000
72,0.03745705299979818,0.14462213699994209,10000
73,0.04167017100007797,0.1443832019999718,10000
74,0.03670087099999364,0.14458711999986917,10000
75,0.06602209399989079,0.14503178599989042,10000
76,0.059848468999916804,0.14182523200020114,10000
77,0.049092711999946914,0.14029382999979134,10000
78,0.04863309899997148,0.1411166789998788,10000
79,0.06418502199994691,0.14287456699980794,10000
80,0.060830549000002065,0.14436426899987964,10000
81,0.13918555500004004,0.14227329100003772,10000
82,0.045077046999949744,0.14179652200004966,10000
83,0.04121210800008157,0.14157668699999704,10000
84,0.12199100199995883,0.1442788819999805,10000
85,0.14514187999998285,0.13925112199990508,10000
86,0.039896061999797894,0.14581148999991456,10000
87,0.05948391000015363,0.14606574399999772,10000
88,0.06043251999994936,0.14203978599994116,10000
89,0.03681674800009205,0.14418401499983702,10000
90,0.036990236000065124,0.14306502900012674,10000
91,0.041494504999946,0.14326846699987072,10000
92,0.04528520799999569,0.14291243299999223,10000
93,0.06882679599993935,0.1393558770000709,10000
94,0.08154781999996885,0.14187925999999607,10000
95,0.05935531600016475,0.14341695699999946,10000
96,0.12560611399999289,0.13638635399979648,10000
97,0.058136181000008946,0.1423344160000397,10000
98,0.04069343299988759,0.13827683399995294,10000
99,0.0408412159999898,0.14119471799995154,10000
100,0.0671889600000668,0.14140297399990231,10000
